ID,SEASON,FIX ID,SEASON FIX ID,DATE,TEAM,COMP TYPE,COMPETITION,OPPOSITION,HOME/AWAY,RESULT,HOME SCORE,AWAY SCORE,STATUS,OPPO OWN GOALS,FULL RESULT,DORKINIANS GOALS,CONCEDED
1,2016/17,1,2016/17-1,"Sat, 10 Sep 2016",1st XI,League,Premier,Old Thorntonians First,Away,W,0,1,,0,W 0-1,1,0
2,2016/17,2,2016/17-2,"Sat, 10 Sep 2016",2nd XI,League,Intermediate South,Old Wokingians Reserves,Away,W,0,2,,0,W 0-2,2,0
3,2016/17,3,2016/17-3,"Sat, 10 Sep 2016",3rd XI,-,-,No Game,-,,,,,0,-,,
4,2016/17,4,2016/17-4,"Sat, 10 Sep 2016",4th XI,-,-,No Game,-,,,,,0,-,,
5,2016/17,5,2016/17-5,"Sat, 10 Sep 2016",5th XI,Friendly,Friendly,Wokingians FC,Away,W,5,7,,0,W 5-7,7,5
